HID,TAZ,TRIPS
,822,11240
,823,2434
,824,6587
,825,2450
,826,2053
,827,5553
,828,2767
,829,1079
,830,9877
,831,392
,832,2089
,833,911
,834,12151
,835,342
,836,12479
,837,3947
,838,2767
,839,2241
,840,291
,841,13792
,842,25292
,843,8915
,844,1133
,845,3155
,846,11754
,847,11033
,848,5881
,849,16575
,850,7176
,851,2536
,852,8920
,853,7030
,854,9928
,855,15271
,856,5069
,857,14704
,858,12308
,859,569
,860,4339
,861,8480
,862,4396
,863,1284
,864,44295
,865,1264
,866,2319
,867,7465
,868,554
,869,10284
,870,6986
,871,2150
,872,5969
,873,6030
,874,15901
,875,2290
,876,1063
,877,1640
,878,2416
,879,8978
,880,13344
,881,1957
,882,651
,883,14600
,884,2027
,885,3951
,886,2206
,887,1549
,888,10239
,889,3538
,890,798
,891,7201
,892,527
,893,20026
,894,2534
,895,884
,896,1190
,897,398
,898,21598
,899,10148
,900,24983
,901,1974
,902,6351
,903,7134
,904,17281
,905,16325
,906,875
,907,3952
,908,1951
,909,2918
,910,1920
,911,6291
,912,7004
,913,18355
,914,25446
,915,14943
,916,10417
,917,16366
,918,4725
,919,9985
,920,13577
,921,8437
,922,5500
,923,1102
,924,3216
,925,2678
,926,2609
,927,3344
,928,3819
,929,2867
,930,21737
,931,11078
,932,5849
,933,22309
,934,65823
,935,4604
,936,4042
,937,5479
,938,23363
,939,3623
,940,8297
,941,1184
,943,1445
,944,12691
,945,2962
,946,755
,947,2328
,948,548
,949,10893
,950,3275
,951,11983
,952,5038
,953,4440
,954,12617
,955,5845
,956,1111
,957,8783
,958,18345
,959,53215
,960,1043
,961,2780
,962,2713
,963,1994
,964,3878
,965,6130
,966,6449
,967,1492
,968,1074
,969,519
,970,1725
,971,695
,972,9347
,973,34976
,974,535
,975,33877
,976,2561
,977,3119
,978,25226
,979,14061
,980,1343
,981,1199
,982,2594
,983,4113
,984,4882
,985,3885
,986,12975
,987,4999
,988,2440
,989,8388
,990,1154
,991,2191
,992,4640
,993,3130
,994,9807
,995,2219
,996,11207
,997,6924
,998,1272
,999,2870
,1000,1042
,1001,14771
,1002,2378
,1003,11218
,1004,5426
,1005,1827
,1006,2896
,1007,5944
,1008,2726
,1009,39615
,1010,2135
,1011,19530
,1012,3461
,1013,22
,1014,2001
,1015,122
,1016,3466
,1017,6572
,1018,441
,1019,1237
,1020,432
,1021,32671
,1022,59138
,1023,5631
,1024,4102
,1025,6230
,1026,780
,1027,152
,1028,16747
,1029,220
,1030,1957
,1031,1840
,1032,5325
,1033,2043
,1034,10764
,1035,6739
,1036,627
,1037,236
,1038,15221
,1039,34242
,1040,8645
,1041,2038
,1042,20378
,1043,107168
,1044,17863
,1045,7741
,1046,2365
,1047,6193
,1048,1328
,1049,28433
,1050,8258
,1051,17917
,1052,3388
,1053,9979
,1054,2748
,1055,1891
,1056,5685
,1057,1941
,1058,10693
,1059,1498
,1060,5068
,1061,18908
,1062,875
,1063,19227
,1064,424
,1065,1351
,1066,4794
,1067,4543
,1068,18391
,1069,24526
,1070,13198
,1071,2353
,1072,2278
,1073,5636
,1074,4839
,1075,37648
,1076,1643
,1077,2558
,1078,8195
,1079,11425
,1080,7707
,1081,5470
,1082,669
,1083,8491
,1084,13789
,1085,847
,1086,2591
,1087,9687
,1088,2727
,1089,4425
,1090,1579
,1091,18952
,1092,1888
,1093,734
,1094,5434
,1095,2279
,1096,664
,1097,29226
,1098,962
,1099,618
,1100,2538
,1101,13871
,1102,27476
,1103,6278
,1104,2845
,1105,21197
,1106,445
,1107,2458
,1108,5093
,1109,3796
,1110,3620
,1111,2223
,1112,10565
,1113,26792
,1114,9298
,1115,4802
,1116,63355
,1117,1802
,1118,1625
,1119,10573
,1120,12017
,1121,4944
,1122,10801
,1123,10347
,1124,61029
,1125,9180
,1126,3912
,1127,9009
,1128,7978
,1129,38024
,1130,66056
,1131,66677
,1132,20150
,1133,338006
,1135,17237
,1136,74909
,1137,26843
,1138,14702
,1139,3386
,1140,16826
,1141,142
,1142,589
,1143,345
,1144,1346
,1145,45597
,1146,20616
,1147,26346
,1148,24519
,1149,3498
,1150,102
,1151,909
,1152,30216
,1153,5891
,1154,2582
,1155,38068
,1156,10294
,1157,13966
,1158,2307
,1159,4576
,1160,29892
,1161,2755
,1162,54308
,1163,35533
,1164,2327
,1165,12079
,1166,2994
,1167,3245
,1168,7807
,1169,1078
,1170,46098
,1171,63221
,1172,40991
,1173,5035
,1174,52743
,1175,21877
,1176,8076
,1177,48212
,1178,53192
,1179,9372
,1180,12679
,1181,6523
,1182,7583
