HEX_ID,TAZ,TRIPS
,1292,100
,1293,70
,1294,2002
,1295,2814
,1296,357
,1297,3734
,1298,24644
,1299,16363
,1300,54528
,1301,10168
,1302,6861
,1303,89929
,1304,64512
,1305,13429
,1306,4278
,1307,4536
,1308,4818
,1309,1165
,1310,20581
,1311,9372
,1312,183
,1313,48218
,1314,22782
,1315,40318
,1316,23561
,1317,179305
,1318,5808
,1319,12764
,1320,73585
,1321,105973
,1322,58672
,1323,92979
,1324,54840
,1325,114627
,1326,7378
,1327,2549
,1328,27476
,1329,18959
,1330,4157
,1331,9107
,1332,7321
,1333,3807
,1334,25979
,1335,35312
,1336,6909
,1337,19503
,1338,1554
,1339,1415
,1340,40098
,1341,13031
,1342,18713
,1343,730
,1344,8491
,1345,37987
,1346,23343
,1347,14808
,1348,13130
,1349,10523
,1350,74793
,1351,3193
,1352,32158
,1353,17739
,1354,42301
,1355,47780
,1356,3455
,1357,20637
,1358,17566
,1359,44
,1360,18177
,1361,32885
,1362,10481
,1363,8736
,1364,7102
,1365,13677
,1366,380
,1367,2494
,1368,75197
,1369,786
,1370,10023
,1371,19831
,1372,19853
,1373,34479
,1374,13797
,1375,9074
,1376,61109
,1377,6711
,1378,9383
,1379,50466
,1380,88734
,1381,14187
,1382,9272
,1383,46764
,1384,9378
,1385,28414
,1386,7703
,1387,15230
,1388,120415
,1390,5587
,1391,19888
,1392,15291
,1393,6390
,1394,12288
,1395,4202
,1396,11398
,1397,8751
,1398,84205
,1399,8537
,1400,7709
,1401,3354
,1402,2665
,1403,3811
,1404,25834
,1405,3720
,1406,32464
,1407,11746
,1408,25858
,1409,15225
,1410,5623
,1411,33309
,1412,31272
,1413,2533
,1414,22720
,1415,16968
,1416,3202
,1417,4088
,1418,70586
,1419,7350
,1420,8926
,1421,5610
,1422,2418
,1423,6197
,1424,43432
,1425,14114
,1426,11514
,1427,96878
,1428,228
,1429,7126
,1430,14081
,1431,47434
,1432,12994
,1433,8164
,1434,13022
,1435,2476
,1436,31198
,1437,67389
,1438,13316
,1439,4543
,1440,903
,1441,13277
,1442,47039
,1443,8493
,1444,28716
,1445,29007
,1446,48313
,1447,6388
,1448,3209
,1449,7725
,1450,39773
,1451,21789
,1452,29110
,1453,31197
,1454,19515
,1455,15943
,1456,48433
,1457,35634
,1458,30842
,1459,7323
,1460,17427
,1461,39132
,1462,36605
,1463,642
,1464,11993
,1465,5808
,1466,5871
,1467,13180
,1468,9082
,1469,12008
,1470,14456
,1471,50516
,1472,8140
,1473,37497
,1474,38579
,1475,39920
,1476,52364
,1477,8340
,1478,36226
,1479,35867
,1480,5418
,1481,12152
,1482,970
,1483,3784
,1484,25571
,1485,10341
,1486,3415
,1487,18186
,1488,1917
,1489,9299
,1490,4144
,1491,10987
,1492,1013
,1493,1747
,1494,8649
,1495,26473
,1496,6272
,1497,12668
,1498,46243
,1499,11874
,1500,8899
,1501,45422
,1502,8098
,1503,29543
,1504,28581
,1505,24776
,1506,13246
,1507,19056
,1508,1775
,1509,13229
,1510,5266
,1511,23569
,1512,11255
,1513,20509
,1514,15675
,1515,1569
,1516,1548
,1517,13907
,1518,17439
,1519,33220
,1520,6794
,1521,379
,1522,2678
,1523,10096
,1524,99133
,1525,92878
,1526,1861
,1527,1103
,1528,1710
,1529,19868
,1530,8739
,1531,7511
,1532,11900
,1533,4503
,1534,31822
,1535,8633
,1536,50293
,1537,39766
,1538,6111
,1539,2305
,1540,94518
,1541,12212
,1542,15136
,1543,4779
,1544,11076
,1545,3335
,1546,5602
,1547,4551
,1548,29603
,1549,23960
,1550,21044
,1551,19788
,1552,18082
,1553,49792
,1554,15435
,1555,10618
,1556,14369
,1557,17800
,1558,11780
,1559,18601
,1560,77857
,1561,58482
,1562,9983
,1563,29153
,1564,38240
,1565,28230
,1566,14146
,1567,1139
,1568,22834
,1569,25020
,1570,3663
,1571,1638
,1572,2125
,1573,7422
,1574,21316
,1575,36312
,1576,112832
,1577,4131
,1578,3855
,1579,27958
,1580,136145
,1581,34748
,1582,125573
,1583,608297
,1584,3812
,1585,2431
,1586,4323
,1587,14562
,1588,1375
,1589,1367
,1590,5881
,1591,3342
,1592,1558
,1593,3859
,1594,749
,1595,5710
,1596,21278
,1597,289
,1598,717
,1599,706
,1600,3629
,1601,170
,1602,73
,1603,11579
,1604,36230
,1605,25161
,1606,28093
,1607,17422
,1608,25749
,1609,873
,1610,14074
,1611,991
,1612,1112
,1613,18340
,1614,3588
,1615,1559
,1616,405
,1617,1603
,1618,13711
,1619,16469
,1620,10829
,1621,16131
,1622,11128
,1623,14168
,1624,17866
,1625,19496
,1626,1847
,1627,2466
,1628,26978
,1629,41142
,1630,17161
,1631,15190
,1632,689
,1633,502
,1634,347
,1635,1992
,1636,1510
,1637,1194
